City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,22.53,96,98,2.35,EC,1715414179
1,shizunai-furukawacho,42.3339,142.3669,13.08,71,72,4.42,JP,1715414179
2,koryazhma,61.3143,47.1691,-0.05,79,100,0.4,RU,1715414180
3,hotan,37.0997,79.9269,29.55,6,100,3.4,CN,1715414180
4,wailua homesteads,22.0669,-159.378,19.3,88,28,0.89,US,1715414181
5,margaret river,-33.95,115.0667,18.83,52,0,2.23,AU,1715414181
6,fortuna,40.5982,-124.1573,13.14,97,0,3.09,US,1715414182
7,bethel,41.3712,-73.414,7.57,88,100,0.45,US,1715414182
8,ribeira grande,38.5167,-28.7,18.22,94,75,5.14,PT,1715414054
9,bredasdorp,-34.5322,20.0403,16.61,52,4,4.32,ZA,1715414183
10,trairi,-3.2778,-39.2689,23.7,94,77,3.0,BR,1715414184
11,chapada dos guimaraes,-15.4606,-55.7497,18.81,60,97,1.97,BR,1715414184
12,waitangi,-43.9535,-176.5597,9.34,87,100,4.92,NZ,1715414184
13,port lincoln,-34.7333,135.8667,15.38,75,99,2.68,AU,1715414185
14,albany,42.6001,-73.9662,9.96,93,100,0.45,US,1715414089
15,dakhla,23.6848,-15.958,19.01,82,40,10.29,EH,1715414187
16,papatowai,-46.5619,169.4708,8.13,91,61,3.89,NZ,1715414187
17,tiksi,71.6872,128.8694,-2.27,91,100,3.8,RU,1715414187
18,san antonio de pale,-1.4014,5.6325,26.45,89,70,5.26,GQ,1715414188
19,viseu,40.661,-7.9097,17.13,73,0,0.84,PT,1715414188
20,puerto natales,-51.7236,-72.4875,-2.1,93,26,2.06,CL,1715414188
21,altai,46.3722,96.2583,20.55,10,45,5.38,MN,1715414189
22,invercargill,-46.4,168.35,8.9,96,57,2.24,NZ,1715414189
23,bogorodskoye,56.55,37.8833,5.7,64,75,5.78,RU,1715414189
24,copiapo,-27.3667,-70.3333,6.83,75,100,1.07,CL,1715414190
25,blackmans bay,-43.0167,147.3167,11.4,91,44,2.23,AU,1715414190
26,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,95,75,6.0,RU,1715414003
27,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1715414185
28,sitka,57.0531,-135.33,5.51,86,100,0.74,US,1715414191
29,centenario do sul,-22.8211,-51.5953,18.15,63,53,1.84,BR,1715414192
30,port-aux-francais,-49.35,70.2167,5.04,75,76,11.45,TF,1715414192
31,whitehorse,60.7161,-135.0538,3.43,60,75,2.57,CA,1715414192
32,badagry,6.4167,2.8833,30.81,68,44,3.29,NG,1715414193
33,miri,4.4148,114.0089,32.08,70,40,3.09,MY,1715414062
34,cockburn town,21.4612,-71.1419,26.06,82,58,6.71,TC,1715414194
35,ceres,37.5949,-120.9577,19.83,73,0,1.98,US,1715414194
36,tralee,52.2704,-9.7026,14.43,74,12,2.88,IE,1715414194
37,yellowknife,62.456,-114.3525,3.01,100,100,10.29,CA,1715414195
38,udachny,66.4167,112.4,-3.64,62,100,2.24,RU,1715414195
39,daru,-9.0763,143.2092,26.67,86,85,5.49,PG,1715414196
40,bilibino,68.0546,166.4372,0.47,80,100,1.04,RU,1715414196
41,lihue,21.9789,-159.3672,19.64,88,30,3.33,US,1715414197
42,ushuaia,-54.8,-68.3,1.81,75,40,4.12,AR,1715414197
43,san antonio oeste,-40.7319,-64.9477,7.9,71,12,7.13,AR,1715414198
44,ilulissat,69.2167,-51.1,-8.32,85,100,1.46,GL,1715414198
45,jieshi,22.8134,115.8257,25.88,82,98,4.92,CN,1715414198
46,fisterra,42.9049,-9.2629,13.19,88,1,5.32,ES,1715414199
47,port elizabeth,-33.918,25.5701,19.5,62,0,8.75,ZA,1715414199
48,antsiranana,-12.2787,49.2917,28.42,54,75,7.2,MG,1715414200
49,terrace,54.5163,-128.6035,12.95,66,75,1.54,CA,1715414200
50,arraial do cabo,-22.9661,-42.0278,22.85,88,100,4.22,BR,1715414200
51,enewetak,11.3474,162.3373,27.45,76,100,7.36,MH,1715414201
